customer_id,city,state,audience_segment,gender,age_group
CU00000078,Kolkata,West Bengal,Parents,Male,25-34
CU00000079,Kolkata,West Bengal,Young Professionals,Male,35-44
CU00000080,Chennai,Tamil Nadu,Parents,Male,25-34
CU00000081,Hyderabad,Telangana,Gamers,Male,25-34
CU00000082,Mumbai,Maharashtra,Fitness Enthusiasts,Male,25-34
CU00000083,Chennai,Tamil Nadu,Gamers,Male,25-34
CU00000084,Chennai,Tamil Nadu,Parents,Female,35-44
CU00000085,Kolkata,West Bengal,Corporate,Male,18-24
CU00000086,Pune,Maharashtra,Fitness Enthusiasts,Male,45-54
CU00000087,Delhi,Delhi,Fitness Enthusiasts,Male,25-34
CU00000088,Kolkata,West Bengal,Young Professionals,Male,25-34
CU00000089,Mumbai,Maharashtra,Young Professionals,Male,18-24
CU00000090,Chennai,Tamil Nadu,Students,Female,45-54
CU00000091,Kolkata,West Bengal,Young Professionals,Female,18-24
CU00000092,Bangalore,Karnataka,Parents,Male,25-34
CU00000093,Hyderabad,Telangana,Young Professionals,Male,25-34
CU00000094,Chennai,Tamil Nadu,Parents,Female,35-44
CU00000095,Hyderabad,Telangana,Young Professionals,Male,18-24
CU00000096,Pune,Maharashtra,Corporate,Male,35-44
CU00000097,Mumbai,Maharashtra,Young Professionals,Male,25-34
CU00000098,Mumbai,Maharashtra,Young Professionals,Female,35-44
CU00000099,Pune,Maharashtra,Parents,Male,35-44
CU00000100,Pune,Maharashtra,Parents,Male,35-44
CU00000101,Pune,Maharashtra,Students,Female,25-34
CU00000102,Delhi,Delhi,Young Professionals,Female,45-54
CU00000103,Pune,Maharashtra,Corporate,Male,35-44
CU00000104,Bangalore,Karnataka,Young Professionals,Male,35-44
CU00000105,Delhi,Delhi,Young Professionals,Male,18-24
CU00000106,Kolkata,West Bengal,Young Professionals,Male,35-44
CU00000107,Delhi,Delhi,Young Professionals,Female,18-24
CU00000108,Bangalore,Karnataka,Students,Male,25-34
CU00000109,Hyderabad,Telangana,Fitness Enthusiasts,Male,35-44
CU00000110,Delhi,Delhi,Parents,Female,25-34
CU00000111,Bangalore,Karnataka,Gamers,Female,18-24
CU00000112,Kolkata,West Bengal,Parents,Female,45-54
CU00000113,Kolkata,West Bengal,Parents,Male,18-24
CU00000114,Pune,Maharashtra,Parents,Male,35-44
CU00000115,Hyderabad,Telangana,Young Professionals,Male,25-34
CU00000116,Mumbai,Maharashtra,Young Professionals,Male,25-34
CU00000117,Mumbai,Maharashtra,Students,Female,25-34
CU00000118,Chennai,Tamil Nadu,Parents,Male,25-34
CU00000119,Hyderabad,Telangana,Students,Female,35-44
CU00000120,Chennai,Tamil Nadu,Fitness Enthusiasts,Male,35-44
CU00000121,Chennai,Tamil Nadu,Young Professionals,Female,18-24
CU00000122,Pune,Maharashtra,Parents,Male,18-24
CU00000123,Pune,Maharashtra,Fitness Enthusiasts,Female,25-34
CU00000124,Kolkata,West Bengal,Young Professionals,Female,25-34
CU00000125,Mumbai,Maharashtra,Young Professionals,Female,25-34
CU00000126,Delhi,Delhi,Young Professionals,Female,18-24
CU00000127,Pune,Maharashtra,Students,Female,35-44
CU00000128,Delhi,Delhi,Young Professionals,Female,35-44
CU00000129,Chennai,Tamil Nadu,Students,Female,18-24
CU00000130,Hyderabad,Telangana,Gamers,Female,25-34
CU00000131,Hyderabad,Telangana,Students,Male,25-34
CU00000132,Kolkata,West Bengal,Students,Male,35-44
CU00000133,Delhi,Delhi,Parents,Female,35-44
CU00000134,Kolkata,West Bengal,Corporate,Male,25-34
CU00000135,Pune,Maharashtra,Fitness Enthusiasts,Male,25-34
CU00000136,Kolkata,West Bengal,Corporate,Female,18-24
CU00000137,Kolkata,West Bengal,Gamers,Male,35-44
CU00000138,Bangalore,Karnataka,Young Professionals,Male,35-44
CU00000139,Pune,Maharashtra,Students,Female,35-44
CU00000140,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000141,Bangalore,Karnataka,Parents,Male,35-44
CU00000142,Chennai,Tamil Nadu,Students,Male,25-34
CU00000143,Chennai,Tamil Nadu,Parents,Male,35-44
CU00000144,Bangalore,Karnataka,Parents,Female,18-24
CU00000145,Hyderabad,Telangana,Fitness Enthusiasts,Female,25-34
CU00000146,Mumbai,Maharashtra,Young Professionals,Male,25-34
CU00000147,Bangalore,Karnataka,Parents,Female,35-44
CU00000148,Hyderabad,Telangana,Fitness Enthusiasts,Male,35-44
CU00000149,Mumbai,Maharashtra,Students,Male,25-34
CU00000150,Hyderabad,Telangana,Students,Female,45-54
CU00000151,Hyderabad,Telangana,Fitness Enthusiasts,Male,35-44
CU00000152,Mumbai,Maharashtra,Parents,Male,25-34
CU00000153,Kolkata,West Bengal,Corporate,Male,18-24
CU00000154,Kolkata,West Bengal,Parents,Male,25-34
CU00000155,Kolkata,West Bengal,Gamers,Female,35-44
CU00000156,Chennai,Tamil Nadu,Parents,Female,55+
CU00000157,Mumbai,Maharashtra,Fitness Enthusiasts,Female,45-54
CU00000158,Bangalore,Karnataka,Parents,Female,18-24
CU00000159,Chennai,Tamil Nadu,Parents,Female,18-24
CU00000160,Chennai,Tamil Nadu,Students,Male,25-34
CU00000161,Chennai,Tamil Nadu,Fitness Enthusiasts,Female,35-44
CU00000162,Pune,Maharashtra,Young Professionals,Female,18-24
CU00000163,Hyderabad,Telangana,Young Professionals,Male,35-44
CU00000164,Chennai,Tamil Nadu,Students,Male,45-54
CU00000165,Chennai,Tamil Nadu,Corporate,Male,18-24
CU00000166,Bangalore,Karnataka,Young Professionals,Male,35-44
CU00000167,Mumbai,Maharashtra,Young Professionals,Female,35-44
CU00000168,Chennai,Tamil Nadu,Fitness Enthusiasts,Female,55+
CU00000169,Chennai,Tamil Nadu,Young Professionals,Male,25-34
CU00000170,Mumbai,Maharashtra,Gamers,Male,25-34
CU00000171,Bangalore,Karnataka,Fitness Enthusiasts,Female,45-54
CU00000172,Chennai,Tamil Nadu,Gamers,Male,25-34
CU00000173,Bangalore,Karnataka,Young Professionals,Male,25-34
CU00000174,Hyderabad,Telangana,Corporate,Male,55+
CU00000175,Mumbai,Maharashtra,Parents,Male,45-54
CU00000176,Mumbai,Maharashtra,Young Professionals,Male,35-44
CU00000177,Mumbai,Maharashtra,Young Professionals,Female,25-34
CU00000178,Pune,Maharashtra,Fitness Enthusiasts,Female,18-24
CU00000179,Delhi,Delhi,Fitness Enthusiasts,Female,25-34
CU00000180,Chennai,Tamil Nadu,Parents,Female,35-44
CU00000181,Mumbai,Maharashtra,Young Professionals,Female,18-24
CU00000182,Pune,Maharashtra,Fitness Enthusiasts,Female,25-34
CU00000183,Mumbai,Maharashtra,Parents,Male,18-24
CU00000184,Bangalore,Karnataka,Young Professionals,Male,45-54
CU00000185,Hyderabad,Telangana,Parents,Male,45-54
CU00000186,Delhi,Delhi,Young Professionals,Female,35-44
CU00000187,Delhi,Delhi,Young Professionals,Male,35-44
CU00000188,Mumbai,Maharashtra,Students,Female,35-44
CU00000189,Kolkata,West Bengal,Fitness Enthusiasts,Male,35-44
CU00000190,Chennai,Tamil Nadu,Gamers,Male,18-24
CU00000191,Pune,Maharashtra,Fitness Enthusiasts,Male,45-54
CU00000192,Chennai,Tamil Nadu,Young Professionals,Male,35-44
CU00000193,Delhi,Delhi,Corporate,Female,45-54
CU00000194,Chennai,Tamil Nadu,Parents,Male,25-34
CU00000195,Bangalore,Karnataka,Fitness Enthusiasts,Male,18-24
CU00000196,Chennai,Tamil Nadu,Corporate,Male,45-54
CU00000197,Kolkata,West Bengal,Parents,Female,25-34
CU00000198,Pune,Maharashtra,Parents,Female,18-24
CU00000199,Hyderabad,Telangana,Young Professionals,Female,25-34
CU00000200,Pune,Maharashtra,Gamers,Male,45-54
CU00000201,Delhi,Delhi,Fitness Enthusiasts,Male,35-44
CU00000202,Kolkata,West Bengal,Parents,Male,55+
CU00000203,Mumbai,Maharashtra,Young Professionals,Female,25-34
CU00000204,Mumbai,Maharashtra,Corporate,Male,45-54
CU00000205,Kolkata,West Bengal,Students,Female,25-34
CU00000206,Delhi,Delhi,Students,Female,18-24
CU00000207,Bangalore,Karnataka,Students,Male,35-44
CU00000208,Kolkata,West Bengal,Corporate,Female,25-34
CU00000209,Kolkata,West Bengal,Young Professionals,Male,35-44
CU00000210,Bangalore,Karnataka,Gamers,Female,25-34
CU00000211,Chennai,Tamil Nadu,Students,Female,45-54
CU00000212,Bangalore,Karnataka,Students,Female,25-34
CU00000213,Chennai,Tamil Nadu,Students,Female,55+
CU00000214,Chennai,Tamil Nadu,Young Professionals,Female,35-44
CU00000215,Chennai,Tamil Nadu,Students,Female,35-44
CU00000216,Chennai,Tamil Nadu,Young Professionals,Male,18-24
CU00000217,Bangalore,Karnataka,Young Professionals,Female,18-24
CU00000218,Delhi,Delhi,Fitness Enthusiasts,Male,35-44
CU00000219,Hyderabad,Telangana,Parents,Male,45-54
CU00000220,Mumbai,Maharashtra,Students,Female,25-34
CU00000221,Chennai,Tamil Nadu,Young Professionals,Male,18-24
CU00000222,Chennai,Tamil Nadu,Young Professionals,Male,25-34
CU00000223,Bangalore,Karnataka,Students,Female,18-24
CU00000224,Pune,Maharashtra,Fitness Enthusiasts,Male,35-44
CU00000225,Hyderabad,Telangana,Parents,Female,35-44
CU00000226,Delhi,Delhi,Corporate,Female,45-54
CU00000227,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000228,Bangalore,Karnataka,Fitness Enthusiasts,Male,18-24
CU00000229,Delhi,Delhi,Gamers,Female,25-34
CU00000230,Mumbai,Maharashtra,Young Professionals,Female,18-24
CU00000231,Bangalore,Karnataka,Young Professionals,Female,18-24
CU00000232,Bangalore,Karnataka,Corporate,Female,18-24
CU00000233,Hyderabad,Telangana,Students,Female,45-54
CU00000234,Chennai,Tamil Nadu,Parents,Female,35-44
CU00000235,Mumbai,Maharashtra,Students,Female,18-24
CU00000236,Mumbai,Maharashtra,Fitness Enthusiasts,Female,25-34
CU00000237,Hyderabad,Telangana,Corporate,Male,18-24
CU00000238,Bangalore,Karnataka,Young Professionals,Female,35-44
CU00000239,Pune,Maharashtra,Students,Male,55+
CU00000240,Bangalore,Karnataka,Young Professionals,Female,18-24
CU00000241,Delhi,Delhi,Gamers,Male,18-24
CU00000242,Mumbai,Maharashtra,Parents,Male,25-34
CU00000243,Bangalore,Karnataka,Students,Male,45-54
CU00000244,Chennai,Tamil Nadu,Young Professionals,Male,35-44
CU00000245,Chennai,Tamil Nadu,Students,Male,25-34
CU00000246,Delhi,Delhi,Parents,Female,35-44
CU00000247,Chennai,Tamil Nadu,Fitness Enthusiasts,Female,25-34
CU00000248,Bangalore,Karnataka,Young Professionals,Male,35-44
CU00000249,Chennai,Tamil Nadu,Fitness Enthusiasts,Female,55+
CU00000250,Chennai,Tamil Nadu,Gamers,Female,45-54
CU00000251,Chennai,Tamil Nadu,Gamers,Female,35-44
CU00000252,Hyderabad,Telangana,Young Professionals,Female,18-24
CU00000253,Kolkata,West Bengal,Fitness Enthusiasts,Male,35-44
CU00000254,Chennai,Tamil Nadu,Students,Male,25-34
CU00000255,Kolkata,West Bengal,Gamers,Male,25-34
CU00000256,Mumbai,Maharashtra,Parents,Male,25-34
CU00000257,Bangalore,Karnataka,Young Professionals,Female,35-44
CU00000258,Hyderabad,Telangana,Gamers,Male,18-24
CU00000259,Delhi,Delhi,Students,Male,25-34
CU00000260,Hyderabad,Telangana,Parents,Male,25-34
CU00000261,Kolkata,West Bengal,Fitness Enthusiasts,Female,18-24
CU00000262,Bangalore,Karnataka,Parents,Male,55+
CU00000263,Mumbai,Maharashtra,Young Professionals,Female,25-34
CU00000264,Bangalore,Karnataka,Fitness Enthusiasts,Male,55+
CU00000265,Mumbai,Maharashtra,Fitness Enthusiasts,Female,35-44
CU00000266,Pune,Maharashtra,Young Professionals,Male,25-34
CU00000267,Chennai,Tamil Nadu,Gamers,Female,45-54
CU00000268,Mumbai,Maharashtra,Students,Male,25-34
CU00000269,Mumbai,Maharashtra,Young Professionals,Female,25-34
CU00000270,Mumbai,Maharashtra,Young Professionals,Female,35-44
CU00000271,Pune,Maharashtra,Fitness Enthusiasts,Female,18-24
CU00000272,Bangalore,Karnataka,Students,Male,18-24
CU00000273,Bangalore,Karnataka,Fitness Enthusiasts,Male,25-34
CU00000274,Hyderabad,Telangana,Parents,Male,35-44
CU00000275,Bangalore,Karnataka,Young Professionals,Female,35-44
CU00000276,Kolkata,West Bengal,Parents,Male,18-24
CU00000277,Chennai,Tamil Nadu,Parents,Male,35-44
CU00000278,Bangalore,Karnataka,Students,Male,35-44
CU00000279,Chennai,Tamil Nadu,Students,Male,25-34
CU00000280,Delhi,Delhi,Students,Female,18-24
CU00000281,Delhi,Delhi,Students,Male,35-44
CU00000282,Delhi,Delhi,Young Professionals,Male,25-34
CU00000283,Delhi,Delhi,Parents,Female,35-44
CU00000284,Bangalore,Karnataka,Young Professionals,Male,35-44
CU00000285,Mumbai,Maharashtra,Students,Male,25-34
CU00000286,Chennai,Tamil Nadu,Young Professionals,Female,18-24
CU00000287,Delhi,Delhi,Parents,Male,18-24
CU00000288,Kolkata,West Bengal,Young Professionals,Male,25-34
CU00000289,Kolkata,West Bengal,Gamers,Male,35-44
CU00000290,Mumbai,Maharashtra,Young Professionals,Male,25-34
CU00000291,Pune,Maharashtra,Parents,Male,25-34
CU00000292,Hyderabad,Telangana,Young Professionals,Male,25-34
CU00000293,Delhi,Delhi,Students,Male,35-44
CU00000294,Kolkata,West Bengal,Young Professionals,Female,25-34
CU00000295,Bangalore,Karnataka,Fitness Enthusiasts,Male,45-54
CU00000296,Pune,Maharashtra,Young Professionals,Male,18-24
CU00000297,Hyderabad,Telangana,Gamers,Female,45-54
CU00000298,Hyderabad,Telangana,Young Professionals,Female,25-34
CU00000299,Mumbai,Maharashtra,Young Professionals,Female,25-34
CU00000300,Mumbai,Maharashtra,Students,Female,18-24
CU00000301,Kolkata,West Bengal,Young Professionals,Male,25-34
CU00000302,Bangalore,Karnataka,Parents,Female,25-34
CU00000303,Bangalore,Karnataka,Parents,Male,55+
CU00000304,Bangalore,Karnataka,Parents,Male,18-24
CU00000305,Kolkata,West Bengal,Young Professionals,Male,35-44
CU00000306,Pune,Maharashtra,Students,Female,18-24
CU00000307,Chennai,Tamil Nadu,Young Professionals,Male,25-34
CU00000308,Bangalore,Karnataka,Young Professionals,Female,25-34
CU00000309,Chennai,Tamil Nadu,Students,Male,25-34
CU00000310,Mumbai,Maharashtra,Young Professionals,Female,18-24
CU00000311,Chennai,Tamil Nadu,Corporate,Male,18-24
CU00000312,Pune,Maharashtra,Parents,Male,55+
CU00000313,Kolkata,West Bengal,Parents,Male,45-54
CU00000314,Kolkata,West Bengal,Students,Female,25-34
CU00000315,Hyderabad,Telangana,Parents,Male,25-34
CU00000316,Kolkata,West Bengal,Fitness Enthusiasts,Male,25-34
CU00000317,Bangalore,Karnataka,Fitness Enthusiasts,Female,25-34
CU00000318,Mumbai,Maharashtra,Students,Female,35-44
CU00000319,Delhi,Delhi,Parents,Female,25-34
CU00000320,Bangalore,Karnataka,Young Professionals,Male,25-34
CU00000321,Chennai,Tamil Nadu,Parents,Male,45-54
CU00000322,Kolkata,West Bengal,Gamers,Male,25-34
CU00000323,Chennai,Tamil Nadu,Gamers,Male,18-24
CU00000324,Mumbai,Maharashtra,Young Professionals,Male,18-24
CU00000325,Kolkata,West Bengal,Students,Male,35-44
CU00000326,Hyderabad,Telangana,Young Professionals,Male,18-24
CU00000327,Chennai,Tamil Nadu,Young Professionals,Male,35-44
CU00000328,Hyderabad,Telangana,Young Professionals,Female,18-24
CU00000329,Chennai,Tamil Nadu,Fitness Enthusiasts,Female,45-54
CU00000330,Delhi,Delhi,Parents,Male,45-54
CU00000331,Delhi,Delhi,Young Professionals,Female,25-34
CU00000332,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000333,Chennai,Tamil Nadu,Young Professionals,Female,25-34
CU00000334,Kolkata,West Bengal,Young Professionals,Female,25-34
CU00000335,Delhi,Delhi,Parents,Male,55+
CU00000336,Bangalore,Karnataka,Young Professionals,Male,18-24
CU00000337,Bangalore,Karnataka,Gamers,Male,45-54
CU00000338,Hyderabad,Telangana,Young Professionals,Male,18-24
CU00000339,Bangalore,Karnataka,Gamers,Male,25-34
CU00000340,Mumbai,Maharashtra,Fitness Enthusiasts,Male,35-44
CU00000341,Hyderabad,Telangana,Fitness Enthusiasts,Female,35-44
CU00000342,Bangalore,Karnataka,Young Professionals,Male,18-24
CU00000343,Pune,Maharashtra,Young Professionals,Female,45-54
CU00000344,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000345,Delhi,Delhi,Fitness Enthusiasts,Female,25-34
CU00000346,Delhi,Delhi,Parents,Male,25-34
CU00000347,Bangalore,Karnataka,Parents,Female,35-44
CU00000348,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000349,Kolkata,West Bengal,Parents,Female,18-24
CU00000350,Delhi,Delhi,Young Professionals,Female,25-34
CU00000351,Mumbai,Maharashtra,Young Professionals,Female,35-44
CU00000352,Delhi,Delhi,Young Professionals,Male,45-54
CU00000353,Mumbai,Maharashtra,Corporate,Male,45-54
CU00000354,Chennai,Tamil Nadu,Parents,Male,45-54
CU00000355,Hyderabad,Telangana,Gamers,Male,25-34
CU00000356,Delhi,Delhi,Young Professionals,Male,18-24
CU00000357,Hyderabad,Telangana,Young Professionals,Female,18-24
CU00000358,Mumbai,Maharashtra,Gamers,Male,18-24
CU00000359,Chennai,Tamil Nadu,Fitness Enthusiasts,Male,25-34
CU00000360,Hyderabad,Telangana,Young Professionals,Male,35-44
CU00000361,Chennai,Tamil Nadu,Fitness Enthusiasts,Male,25-34
CU00000362,Mumbai,Maharashtra,Students,Male,18-24
CU00000363,Bangalore,Karnataka,Fitness Enthusiasts,Male,25-34
CU00000364,Pune,Maharashtra,Young Professionals,Male,45-54
CU00000365,Chennai,Tamil Nadu,Students,Male,45-54
CU00000366,Pune,Maharashtra,Students,Male,25-34
CU00000367,Hyderabad,Telangana,Gamers,Male,25-34
CU00000368,Delhi,Delhi,Parents,Female,45-54
CU00000369,Hyderabad,Telangana,Fitness Enthusiasts,Male,45-54
CU00000370,Mumbai,Maharashtra,Gamers,Female,25-34
CU00000371,Delhi,Delhi,Students,Female,35-44
CU00000372,Chennai,Tamil Nadu,Young Professionals,Male,45-54
CU00000373,Pune,Maharashtra,Parents,Male,18-24
CU00000374,Hyderabad,Telangana,Young Professionals,Male,25-34
CU00000375,Chennai,Tamil Nadu,Parents,Female,45-54
CU00000376,Kolkata,West Bengal,Students,Male,18-24
CU00000377,Mumbai,Maharashtra,Fitness Enthusiasts,Female,25-34
CU00000378,Mumbai,Maharashtra,Young Professionals,Female,35-44
CU00000379,Pune,Maharashtra,Young Professionals,Male,18-24
CU00000380,Bangalore,Karnataka,Young Professionals,Female,45-54
CU00000381,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000382,Bangalore,Karnataka,Fitness Enthusiasts,Female,25-34
CU00000383,Bangalore,Karnataka,Young Professionals,Male,25-34
CU00000384,Hyderabad,Telangana,Young Professionals,Male,18-24
CU00000385,Kolkata,West Bengal,Gamers,Male,35-44
CU00000386,Bangalore,Karnataka,Parents,Female,25-34
CU00000387,Hyderabad,Telangana,Fitness Enthusiasts,Male,35-44
CU00000388,Mumbai,Maharashtra,Gamers,Male,25-34
CU00000389,Mumbai,Maharashtra,Parents,Male,25-34
CU00000390,Delhi,Delhi,Young Professionals,Male,45-54
CU00000391,Bangalore,Karnataka,Gamers,Female,45-54
CU00000392,Mumbai,Maharashtra,Young Professionals,Female,45-54
CU00000393,Mumbai,Maharashtra,Young Professionals,Male,55+
CU00000394,Kolkata,West Bengal,Gamers,Male,25-34
CU00000395,Bangalore,Karnataka,Fitness Enthusiasts,Female,35-44
CU00000396,Mumbai,Maharashtra,Young Professionals,Male,45-54
CU00000397,Mumbai,Maharashtra,Young Professionals,Female,25-34
CU00000398,Kolkata,West Bengal,Corporate,Male,45-54
CU00000399,Delhi,Delhi,Corporate,Male,35-44
CU00000400,Kolkata,West Bengal,Young Professionals,Male,25-34
CU00000401,Kolkata,West Bengal,Corporate,Female,35-44
CU00000402,Mumbai,Maharashtra,Parents,Male,18-24
CU00000403,Mumbai,Maharashtra,Students,Male,35-44
CU00000404,Mumbai,Maharashtra,Fitness Enthusiasts,Female,35-44
CU00000405,Pune,Maharashtra,Young Professionals,Male,18-24
CU00000406,Mumbai,Maharashtra,Parents,Male,35-44
CU00000407,Delhi,Delhi,Parents,Female,18-24
CU00000408,Chennai,Tamil Nadu,Fitness Enthusiasts,Female,25-34
CU00000409,Bangalore,Karnataka,Students,Female,25-34
CU00000410,Hyderabad,Telangana,Young Professionals,Male,25-34
CU00000411,Mumbai,Maharashtra,Students,Male,45-54
CU00000412,Pune,Maharashtra,Parents,Male,25-34
CU00000413,Delhi,Delhi,Fitness Enthusiasts,Female,45-54
CU00000414,Delhi,Delhi,Young Professionals,Female,25-34
CU00000415,Chennai,Tamil Nadu,Fitness Enthusiasts,Male,35-44
CU00000416,Mumbai,Maharashtra,Gamers,Male,35-44
CU00000417,Hyderabad,Telangana,Parents,Male,25-34
CU00000418,Mumbai,Maharashtra,Young Professionals,Male,18-24
CU00000419,Mumbai,Maharashtra,Parents,Female,25-34
CU00000420,Chennai,Tamil Nadu,Fitness Enthusiasts,Male,18-24
CU00000421,Chennai,Tamil Nadu,Fitness Enthusiasts,Male,25-34
CU00000422,Hyderabad,Telangana,Fitness Enthusiasts,Male,25-34
CU00000423,Bangalore,Karnataka,Parents,Female,35-44
CU00000424,Delhi,Delhi,Gamers,Male,18-24
CU00000425,Bangalore,Karnataka,Fitness Enthusiasts,Female,25-34
CU00000426,Mumbai,Maharashtra,Corporate,Female,18-24
CU00000427,Kolkata,West Bengal,Young Professionals,Male,18-24
CU00000428,Hyderabad,Telangana,Fitness Enthusiasts,Female,25-34
CU00000429,Chennai,Tamil Nadu,Parents,Male,25-34
CU00000430,Delhi,Delhi,Fitness Enthusiasts,Male,45-54
CU00000431,Hyderabad,Telangana,Young Professionals,Female,25-34
CU00000432,Chennai,Tamil Nadu,Young Professionals,Male,45-54
CU00000433,Delhi,Delhi,Gamers,Male,35-44
CU00000434,Bangalore,Karnataka,Gamers,Male,25-34
CU00000435,Mumbai,Maharashtra,Students,Male,35-44
CU00000436,Chennai,Tamil Nadu,Students,Male,55+
CU00000437,Hyderabad,Telangana,Parents,Female,35-44
CU00000438,Hyderabad,Telangana,Students,Female,35-44
CU00000439,Chennai,Tamil Nadu,Gamers,Male,25-34
CU00000440,Kolkata,West Bengal,Parents,Male,55+
CU00000441,Chennai,Tamil Nadu,Fitness Enthusiasts,Male,25-34
CU00000442,Hyderabad,Telangana,Young Professionals,Male,35-44
