factor_id,date,holiday_flag,festival_flag,weather,competitor_spend,discount_percentage
EF315,2024-11-10,No,No,Sunny,453074,20
EF316,2024-11-11,No,Yes,Rainy,438321,40
EF317,2024-11-12,Yes,No,Sunny,190421,15
EF318,2024-11-13,No,Yes,Cloudy,312414,40
EF319,2024-11-14,No,No,Sunny,460181,20
EF320,2024-11-15,No,No,Sunny,367555,5
EF321,2024-11-16,No,No,Rainy,153459,0
EF322,2024-11-17,No,No,Sunny,174326,10
EF323,2024-11-18,No,No,Cloudy,339307,5
EF324,2024-11-19,No,Yes,Rainy,155704,40
EF325,2024-11-20,Yes,No,Sunny,263791,20
EF326,2024-11-21,No,Yes,Rainy,497992,35
EF327,2024-11-22,Yes,Yes,Rainy,415899,20
EF328,2024-11-23,No,Yes,Sunny,363389,20
EF329,2024-11-24,No,No,Cloudy,162420,0
EF330,2024-11-25,No,No,Sunny,445933,5
EF331,2024-11-26,No,Yes,Sunny,306100,20
EF332,2024-11-27,No,No,Cloudy,332249,10
EF333,2024-11-28,No,No,Sunny,452673,15
EF334,2024-11-29,Yes,Yes,Sunny,305816,40
EF335,2024-11-30,No,Yes,Sunny,366183,30
EF336,2024-12-01,No,No,Cloudy,380773,10
EF337,2024-12-02,No,No,Sunny,185532,20
EF338,2024-12-03,No,No,Sunny,378157,5
EF339,2024-12-04,No,No,Rainy,291693,10
EF340,2024-12-05,No,Yes,Sunny,421613,20
EF341,2024-12-06,No,No,Sunny,215147,20
EF342,2024-12-07,No,Yes,Rainy,202050,40
EF343,2024-12-08,No,No,Sunny,256977,20
EF344,2024-12-09,No,Yes,Sunny,255915,35
EF345,2024-12-10,No,No,Rainy,462785,0
EF346,2024-12-11,No,No,Cloudy,222398,15
EF347,2024-12-12,No,Yes,Cloudy,404246,25
EF348,2024-12-13,No,No,Sunny,497988,10
EF349,2024-12-14,No,No,Cloudy,483227,5
EF350,2024-12-15,No,No,Cloudy,265097,10
EF351,2024-12-16,No,Yes,Sunny,340512,40
EF352,2024-12-17,No,No,Rainy,219003,20
EF353,2024-12-18,No,Yes,Rainy,304289,35
EF354,2024-12-19,No,No,Rainy,175430,0
EF355,2024-12-20,No,Yes,Sunny,397083,35
EF356,2024-12-21,No,No,Cloudy,177023,5
EF357,2024-12-22,No,No,Cloudy,450849,10
EF358,2024-12-23,Yes,No,Sunny,306368,0
EF359,2024-12-24,No,No,Sunny,360840,5
EF360,2024-12-25,No,No,Cloudy,288242,0
EF361,2024-12-26,No,Yes,Rainy,383129,30
EF362,2024-12-27,No,No,Sunny,373600,0
EF363,2024-12-28,No,No,Sunny,231696,20
EF364,2024-12-29,No,No,Cloudy,237756,0
EF365,2024-12-30,No,No,Sunny,330093,15
EF366,2024-12-31,No,Yes,Sunny,390090,40
EF367,2025-01-01,No,No,Cloudy,479003,5
EF368,2025-01-02,No,No,Sunny,345320,5
EF369,2025-01-03,No,No,Sunny,312875,10
EF370,2025-01-04,No,No,Cloudy,422829,10
EF371,2025-01-05,No,No,Cloudy,185167,0
EF372,2025-01-06,No,No,Sunny,157054,20
EF373,2025-01-07,No,No,Sunny,280423,0
EF374,2025-01-08,No,No,Rainy,490536,15
EF375,2025-01-09,No,No,Cloudy,375266,5
EF376,2025-01-10,No,No,Cloudy,493606,10
EF377,2025-01-11,No,No,Cloudy,242287,15
EF378,2025-01-12,No,No,Cloudy,263871,5
EF379,2025-01-13,No,No,Sunny,491655,15
EF380,2025-01-14,Yes,No,Rainy,150875,10
EF381,2025-01-15,No,No,Sunny,266704,10
EF382,2025-01-16,No,No,Sunny,457378,15
EF383,2025-01-17,No,No,Sunny,423724,15
EF384,2025-01-18,No,No,Cloudy,206056,15
EF385,2025-01-19,No,No,Sunny,453356,5
EF386,2025-01-20,No,No,Cloudy,194893,0
EF387,2025-01-21,No,No,Sunny,447470,10
EF388,2025-01-22,No,No,Sunny,364456,20
EF389,2025-01-23,Yes,No,Rainy,411089,15
EF390,2025-01-24,No,No,Sunny,467287,10
EF391,2025-01-25,No,No,Cloudy,373659,15
EF392,2025-01-26,No,No,Sunny,389379,15
EF393,2025-01-27,No,No,Cloudy,243652,15
EF394,2025-01-28,No,No,Sunny,290992,15
EF395,2025-01-29,No,No,Cloudy,383748,5
EF396,2025-01-30,No,No,Sunny,175542,10
EF397,2025-01-31,No,No,Rainy,234191,15
EF398,2025-02-01,No,No,Sunny,245659,20
EF399,2025-02-02,No,No,Sunny,378112,5
EF400,2025-02-03,No,No,Cloudy,267679,5
EF401,2025-02-04,No,No,Sunny,449832,5
EF402,2025-02-05,No,No,Cloudy,300743,0
EF403,2025-02-06,No,No,Sunny,354877,0
EF404,2025-02-07,No,No,Cloudy,208116,5
EF405,2025-02-08,No,No,Sunny,448925,10
EF406,2025-02-09,Yes,No,Sunny,302554,10
EF407,2025-02-10,No,Yes,Cloudy,260789,40
EF408,2025-02-11,No,No,Sunny,492363,10
EF409,2025-02-12,No,No,Cloudy,248326,15
EF410,2025-02-13,No,No,Sunny,463057,20
EF411,2025-02-14,No,No,Sunny,284910,15
EF412,2025-02-15,No,No,Rainy,396728,0
EF413,2025-02-16,No,Yes,Sunny,418704,25
EF414,2025-02-17,Yes,No,Cloudy,330131,15
EF415,2025-02-18,No,No,Rainy,333847,20
EF416,2025-02-19,No,No,Sunny,429204,5
EF417,2025-02-20,No,No,Sunny,227231,15
EF418,2025-02-21,No,No,Cloudy,283097,20
EF419,2025-02-22,No,No,Cloudy,343574,10
EF420,2025-02-23,No,No,Cloudy,252176,10
EF421,2025-02-24,No,No,Sunny,396509,20
EF422,2025-02-25,No,No,Sunny,204022,15
EF423,2025-02-26,Yes,No,Cloudy,407495,15
EF424,2025-02-27,Yes,No,Sunny,312992,5
EF425,2025-02-28,No,No,Cloudy,370920,5
EF426,2025-03-01,No,No,Sunny,197443,10
EF427,2025-03-02,No,No,Cloudy,187536,10
EF428,2025-03-03,No,No,Rainy,403151,20
EF429,2025-03-04,No,Yes,Sunny,359434,40
EF430,2025-03-05,No,No,Sunny,484613,0
EF431,2025-03-06,Yes,No,Rainy,273692,5
EF432,2025-03-07,No,No,Sunny,291217,10
EF433,2025-03-08,No,No,Rainy,301937,10
EF434,2025-03-09,No,No,Rainy,309480,10
EF435,2025-03-10,No,No,Sunny,374073,0
EF436,2025-03-11,No,No,Sunny,442494,15
EF437,2025-03-12,No,No,Rainy,272234,15
EF438,2025-03-13,No,No,Rainy,210645,10
EF439,2025-03-14,No,No,Sunny,495067,0
EF440,2025-03-15,No,No,Sunny,252055,0
EF441,2025-03-16,No,No,Rainy,305598,5
EF442,2025-03-17,No,No,Cloudy,341845,10
EF443,2025-03-18,Yes,No,Sunny,212666,5
EF444,2025-03-19,No,No,Rainy,217904,20
EF445,2025-03-20,No,No,Rainy,485539,0
EF446,2025-03-21,Yes,Yes,Rainy,239058,25
EF447,2025-03-22,No,No,Cloudy,167781,0
EF448,2025-03-23,No,No,Rainy,284454,10
EF449,2025-03-24,No,No,Sunny,424455,10
EF450,2025-03-25,No,No,Sunny,358566,20
EF451,2025-03-26,No,No,Sunny,356142,10
EF452,2025-03-27,No,No,Sunny,326749,5
EF453,2025-03-28,No,No,Rainy,171756,5
EF454,2025-03-29,No,No,Cloudy,366685,0
EF455,2025-03-30,No,Yes,Sunny,315336,20
EF456,2025-03-31,No,No,Sunny,250185,15
EF457,2025-04-01,No,No,Sunny,254914,15
EF458,2025-04-02,No,No,Rainy,406183,0
EF459,2025-04-03,No,Yes,Sunny,492419,25
EF460,2025-04-04,No,No,Sunny,464858,0
EF461,2025-04-05,No,No,Cloudy,203652,20
EF462,2025-04-06,No,No,Sunny,304066,15
EF463,2025-04-07,No,No,Sunny,229436,5
EF464,2025-04-08,No,No,Rainy,155086,15
EF465,2025-04-09,No,No,Rainy,287155,5
EF466,2025-04-10,No,No,Cloudy,456098,20
EF467,2025-04-11,No,No,Sunny,314442,10
EF468,2025-04-12,No,No,Rainy,430121,20
EF469,2025-04-13,No,No,Sunny,244044,10
EF470,2025-04-14,No,No,Cloudy,337766,15
EF471,2025-04-15,No,No,Cloudy,168278,5
EF472,2025-04-16,No,No,Cloudy,262416,10
EF473,2025-04-17,No,No,Sunny,154492,15
EF474,2025-04-18,No,No,Cloudy,391159,15
EF475,2025-04-19,No,Yes,Sunny,201685,25
EF476,2025-04-20,No,No,Sunny,470283,10
EF477,2025-04-21,No,No,Cloudy,213173,10
EF478,2025-04-22,No,No,Sunny,435387,20
EF479,2025-04-23,No,No,Cloudy,247256,20
EF480,2025-04-24,No,No,Sunny,312102,0
EF481,2025-04-25,No,No,Rainy,199241,10
EF482,2025-04-26,Yes,No,Rainy,370073,20
EF483,2025-04-27,No,No,Rainy,467401,10
EF484,2025-04-28,No,No,Rainy,191978,0
EF485,2025-04-29,No,No,Rainy,262450,10
EF486,2025-04-30,No,No,Sunny,216894,0
EF487,2025-05-01,No,No,Sunny,163364,10
EF488,2025-05-02,Yes,No,Rainy,423337,15
EF489,2025-05-03,No,No,Sunny,322980,15
EF490,2025-05-04,No,No,Rainy,272583,0
EF491,2025-05-05,No,No,Sunny,438538,15
EF492,2025-05-06,No,Yes,Sunny,295258,25
EF493,2025-05-07,No,No,Sunny,309795,10
EF494,2025-05-08,No,No,Rainy,438987,5
EF495,2025-05-09,No,No,Cloudy,261960,10
EF496,2025-05-10,No,No,Sunny,492435,10
EF497,2025-05-11,Yes,No,Sunny,199720,0
EF498,2025-05-12,Yes,No,Sunny,206043,15
EF499,2025-05-13,No,No,Rainy,325480,0
EF500,2025-05-14,No,No,Rainy,349739,20
EF501,2025-05-15,No,No,Rainy,154083,15
EF502,2025-05-16,No,No,Rainy,359706,0
EF503,2025-05-17,No,No,Rainy,397705,20
EF504,2025-05-18,No,Yes,Cloudy,249847,25
EF505,2025-05-19,No,No,Cloudy,427280,10
EF506,2025-05-20,No,No,Cloudy,251806,0
EF507,2025-05-21,No,No,Sunny,333112,10
EF508,2025-05-22,No,No,Sunny,190927,10
EF509,2025-05-23,No,No,Cloudy,167681,15
EF510,2025-05-24,No,No,Cloudy,251385,15
EF511,2025-05-25,No,No,Cloudy,181496,20
EF512,2025-05-26,Yes,No,Cloudy,356772,15
EF513,2025-05-27,No,No,Cloudy,232649,20
EF514,2025-05-28,No,No,Sunny,196955,5
EF515,2025-05-29,No,No,Sunny,395207,0
EF516,2025-05-30,No,No,Sunny,218743,0
EF517,2025-05-31,No,No,Sunny,232932,5
EF518,2025-06-01,No,No,Cloudy,393302,5
EF519,2025-06-02,No,No,Cloudy,402064,15
EF520,2025-06-03,No,No,Sunny,239119,15
EF521,2025-06-04,No,No,Sunny,488472,20
EF522,2025-06-05,No,No,Rainy,391639,5
EF523,2025-06-06,No,No,Sunny,321226,15
EF524,2025-06-07,No,No,Rainy,310983,20
EF525,2025-06-08,No,No,Sunny,293032,10
EF526,2025-06-09,No,No,Cloudy,171974,0
EF527,2025-06-10,No,No,Rainy,200426,10
EF528,2025-06-11,No,No,Cloudy,246119,15
EF529,2025-06-12,No,No,Rainy,224634,20
EF530,2025-06-13,No,No,Rainy,234192,10
EF531,2025-06-14,No,No,Rainy,493674,15
EF532,2025-06-15,No,No,Rainy,446218,15
EF533,2025-06-16,No,No,Rainy,472329,5
EF534,2025-06-17,No,No,Rainy,338586,5
EF535,2025-06-18,No,No,Cloudy,405912,15
EF536,2025-06-19,No,No,Rainy,297152,15
EF537,2025-06-20,No,No,Cloudy,459044,15
EF538,2025-06-21,No,No,Cloudy,387444,15
EF539,2025-06-22,No,No,Rainy,260497,20
EF540,2025-06-23,No,No,Rainy,383690,20
EF541,2025-06-24,No,No,Rainy,326258,15
EF542,2025-06-25,No,No,Rainy,329283,0
EF543,2025-06-26,No,No,Cloudy,155535,15
